name,age,constituency,vote_percent,status
김진태,20,강원 춘천시,50.54%,당선
김기선,20,강원 원주시갑,44.04%,당선
송기헌,20,강원 원주시을,44.27%,당선
권성동,20,강원 강릉시,57.15%,당선
이철규,20,강원 동해시삼척시,48.54%,당선
염동열,20,강원 태백시횡성군영월군평창군정선군,40.74%,당선
이양수,20,강원 속초시고성군양양군,62.00%,당선
황영철,20,강원 홍천군철원군화천군양구군인제군,50.39%,당선
이찬열,20,경기 수원시갑,47.42%,당선
백혜련,20,경기 수원시을,47.14%,당선
김영진,20,경기 수원시병,53.93%,당선
박광온,20,경기 수원시정,46.34%,당선
김진표,20,경기 수원시무,51.48%,당선
김태년,20,경기 성남시수정구,44.57%,당선
신상진,20,경기 성남시중원구,43.41%,당선
김병관,20,경기 성남시분당구갑,47.03%,당선
김병욱,20,경기 성남시분당구을,39.85%,당선
문희상,20,경기 의정부시갑,42.84%,당선
홍문종,20,경기 의정부시을,41.51%,당선
이종걸,20,경기 안양시만안구,45.39%,당선
이석현,20,경기 안양시동안구갑,50.05%,당선
심재철,20,경기 안양시동안구을,41.46%,당선
김경협,20,경기 부천시원미구갑,42.43%,당선
설훈,20,경기 부천시원미구을,42.84%,당선
김상희,20,경기 부천시소사구,43.75%,당선
원혜영,20,경기 부천시오정구,44.78%,당선
백재현,20,경기 광명시갑,39.40%,당선
이언주,20,경기 광명시을,52.18%,당선
원유철,20,경기 평택시갑,55.48%,당선
유의동,20,경기 평택시을,40.54%,당선
김성원,20,경기 동두천시연천군,52.51%,당선
전해철,20,경기 안산시상록구갑,38.80%,당선
김철민,20,경기 안산시상록구을,34.03%,당선
김명연,20,경기 안산시단원구갑,39.29%,당선
박순자,20,경기 안산시단원구을,38.08%,당선
심상정,20,경기 고양시갑,52.97%,당선
정재호,20,경기 고양시을,42.25%,당선
유은혜,20,경기 고양시병,47.73%,당선
김현미,20,경기 고양시정,49.15%,당선
신창현,20,경기 의왕시과천시,41.36%,당선
윤호중,20,경기 구리시,46.58%,당선
조응천,20,경기 남양주시갑,40.07%,당선
김한정,20,경기 남양주시을,38.63%,당선
주광덕,20,경기 남양주시병,42.48%,당선
안민석,20,경기 오산시,50.48%,당선
함진규,20,경기 시흥시갑,46.41%,당선
